OverallQual,TotalBsmtSF,GarageArea,GrLivArea
9,1822,774,1828
5,894,308,894
5,876,432,964
8,1568,857,1689
7,1541,843,1541
7,1221,400,1221
6,1088,440,1324
7,696,484,1416
4,462,297,988
6,735,440,1218
7,746,397,1656
6,1362,460,1362
6,756,442,1839
6,1367,451,1375
5,924,528,1122
5,1360,588,1432
7,728,400,1456
7,1188,497,1217
5,0,625,1040
6,612,528,1224
7,952,468,1774
5,861,384,1367
5,803,297,1360
6,848,420,848
8,1482,749,2262
4,836,396,1220
7,1375,398,1414
6,735,396,2058
6,901,0,1198
8,1501,499,1659
6,1012,308,1012
7,824,672,3082
5,360,672,1812
7,1057,650,1929
5,911,576,954
9,1838,765,1838
6,1296,924,1640
5,1148,672,1148
5,950,280,950
8,777,471,1911
6,1065,440,1635
7,1316,440,1316
6,1442,615,1442
5,1078,500,1078
4,1040,544,1120
8,408,527,1419
7,651,240,1389
5,1056,280,1063
9,1792,874,1792
6,1216,402,1216
7,596,576,1762
7,847,434,1959
6,1208,546,1208
5,874,315,1524
4,796,240,1154
5,0,420,1048
5,190,273,886
5,943,600,943
7,866,603,1768
9,1393,779,2599
5,912,275,912
5,0,308,882
6,1405,511,1337
10,2076,850,2076
8,1318,752,2531
5,731,240,1768
8,1573,538,1625
6,1444,389,2144
10,1237,880,2775
6,585,477,1868
7,1525,541,1525
8,1571,722,1571
5,796,0,796
5,994,432,2372
7,384,402,1472
4,648,364,960
5,732,372,1838
6,1040,484,1309
9,2153,694,2643
5,676,200,1131
5,960,400,1960
5,1144,336,1144
6,1056,576,1056
4,693,0,693
6,1479,576,1494
8,1594,482,1646
5,864,352,864
8,1566,750,1566
6,723,497,1395
4,780,539,1208
5,939,180,1513
6,884,560,1367
5,955,386,955
3,1007,210,1077
5,1056,572,1056
7,756,615,1553
7,1614,865,1614
8,2042,1390,2042
5,1073,326,1073
5,672,240,1285
6,1205,550,2117
4,528,0,605
5,1150,300,1150
6,728,400,1456
7,944,588,999
6,750,564,1500
5,1165,375,1336
6,839,398,1593
9,1104,836,2184
7,1560,573,1560
5,728,312,1644
4,630,286,630
6,1143,504,1113
7,1063,947,2172
4,560,384,1346
8,1184,550,2610
7,1026,936,1958
8,1468,898,1468
5,0,539,1734
5,768,240,1200
7,1092,438,1550
4,795,440,2230
6,1064,240,1639
5,864,624,864
7,1208,440,1621
6,483,264,987
7,1210,628,2519
5,765,440,1365
8,1128,779,2290
9,1249,840,2596
4,907,352,907
6,855,440,1456
5,1106,540,1190
4,858,684,858
7,2223,516,2223
4,1005,672,1005
7,712,409,1895
5,1040,384,1040
5,1268,461,1264
7,874,578,1761
6,1012,888,1034
7,1385,439,1363
6,1436,480,1689
8,2109,839,2113
7,1573,544,1573
9,2330,820,2364
7,1057,645,2034
6,1291,431,1291
5,858,0,858
6,560,280,1258
2,290,246,438
6,672,440,1400
5,920,240,954
6,1127,645,1445
6,547,525,1072
5,0,0,1664
6,844,441,2134
8,965,380,3194
6,912,0,1824
6,872,422,1756
5,912,576,912
6,1461,600,1509
6,976,216,1608
6,1316,397,1316
5,768,450,1015
5,756,240,1134
8,1623,865,1636
7,660,400,1320
5,1013,538,2126
5,1120,525,1128
5,992,756,1306
4,546,0,1344
7,718,704,2554
5,845,576,893
6,894,668,1933
6,672,264,1218
7,808,534,1969
8,1220,556,2090
5,1484,487,1484
5,1656,506,1656
6,818,210,1224
6,992,390,2054
7,832,576,854
4,546,286,1092
5,1268,252,1268
7,799,550,1661
8,1657,502,1668
6,1478,508,1493
6,932,306,932
7,1277,526,1277
7,1530,630,1530
5,1024,484,1344
5,840,528,860
7,1314,626,1314
7,1391,868,1962
7,788,388,1490
6,848,420,848
5,672,240,672
7,1152,252,2340
5,660,180,1656
7,725,484,1479
7,1226,740,1226
6,832,444,2087
6,1158,576,1158
5,1154,480,1154
7,880,527,1724
6,773,431,1658
4,0,520,1126
5,816,300,1393
8,728,1014,3447
6,483,264,987
5,644,0,1355
7,585,505,2069
7,744,440,1501
8,1976,908,1976
8,1563,758,1563
7,572,288,1111
7,776,270,1502
3,0,452,1733
9,1848,706,2728
5,630,264,1302
7,1332,586,1524
4,0,680,1588
5,1125,430,1125
7,600,480,1200
6,798,520,1640
7,1223,525,2127
6,972,240,972
8,1128,466,2020
5,1144,596,1144
5,1062,288,1352
5,926,484,1316
8,1086,592,1924
5,1164,240,1164
5,952,840,952
8,684,0,2358
6,880,540,1680
6,482,672,1912
6,1004,480,1004
4,747,305,1230
5,915,495,1167
5,1145,440,1301
7,1453,445,1453
8,1581,670,1601
8,1588,825,1588
6,588,264,1095
5,1050,368,1050
4,960,432,960
