OverallQual,TotalBsmtSF,GarageArea,GrLivArea,YearBuilt
9,1822,774,1828,2007
5,894,308,894,1962
5,876,432,964,1921
8,1568,857,1689,2002
7,1541,843,1541,2001
7,1221,400,1221,2004
6,1088,440,1324,1965
7,696,484,1416,1999
4,462,297,988,1973
6,735,440,1218,1941
7,746,397,1656,2003
6,1362,460,1362,2005
6,756,442,1839,1966
6,1367,451,1375,1954
5,924,528,1122,1948
5,1360,588,1432,1978
7,728,400,1456,2007
7,1188,497,1217,1990
5,0,625,1040,1950
6,612,528,1224,2009
7,952,468,1774,1931
5,861,384,1367,1900
5,803,297,1360,1938
6,848,420,848,2004
8,1482,749,2262,2003
4,836,396,1220,1951
7,1375,398,1414,2004
6,735,396,2058,1917
6,901,0,1198,1920
8,1501,499,1659,2000
6,1012,308,1012,1920
7,824,672,3082,1920
5,360,672,1812,1900
7,1057,650,1929,2001
5,911,576,954,1976
9,1838,765,1838,2006
6,1296,924,1640,1954
5,1148,672,1148,1959
5,950,280,950,1971
8,777,471,1911,1993
6,1065,440,1635,1923
7,1316,440,1316,2007
6,1442,615,1442,1970
5,1078,500,1078,1971
4,1040,544,1120,1961
8,408,527,1419,2002
7,651,240,1389,1946
5,1056,280,1063,1954
9,1792,874,1792,2003
6,1216,402,1216,1998
7,596,576,1762,1920
7,847,434,1959,2004
6,1208,546,1208,1977
5,874,315,1524,1958
4,796,240,1154,1922
5,0,420,1048,1950
5,190,273,886,1938
5,943,600,943,1979
7,866,603,1768,2005
9,1393,779,2599,1999
5,912,275,912,1958
5,0,308,882,1956
6,1405,511,1337,1998
10,2076,850,2076,2006
8,1318,752,2531,1995
5,731,240,1768,1937
8,1573,538,1625,2006
6,1444,389,2144,1958
10,1237,880,2775,1893
6,585,477,1868,1984
7,1525,541,1525,2000
8,1571,722,1571,2007
5,796,0,796,1910
5,994,432,2372,1892
7,384,402,1472,1991
4,648,364,960,1965
5,732,372,1838,2005
6,1040,484,1309,1974
9,2153,694,2643,2006
5,676,200,1131,1941
5,960,400,1960,1952
5,1144,336,1144,1963
6,1056,576,1056,1980
4,693,0,693,1941
6,1479,576,1494,1997
8,1594,482,1646,2004
5,864,352,864,1972
8,1566,750,1566,2008
6,723,497,1395,1972
4,780,539,1208,1925
5,939,180,1513,1920
6,884,560,1367,1931
5,955,386,955,1966
3,1007,210,1077,1922
5,1056,572,1056,1955
7,756,615,1553,2005
7,1614,865,1614,2005
8,2042,1390,2042,2008
5,1073,326,1073,1921
5,672,240,1285,1948
6,1205,550,2117,1970
4,528,0,605,1920
5,1150,300,1150,1959
6,728,400,1456,2005
7,944,588,999,1961
6,750,564,1500,2005
5,1165,375,1336,1953
6,839,398,1593,2004
9,1104,836,2184,2008
